#Paddle1,#Paddle2,#Paddle3,#H_S1,#H_S2,#H_S3,#D_S1,#D_S2,#D_S3,#AXIS_S1,#AXIS_S2,#AXIS_S3,#ROT_ANGLE
0.000000,69.985401,69.985401,0.527622,-0.371540,-0.763919,0.849231,0.208962,0.484914,0.697056,0.372923,-0.612407,85.343592
0.000000,69.985401,80.036496,0.561829,0.058733,-0.825166,0.782675,0.285280,0.553204,0.755064,0.546632,-0.362039,91.105329
0.000000,69.985401,89.963504,0.400844,0.444244,-0.801231,0.772596,0.306100,0.556236,0.723370,0.669237,-0.169872,104.879600
0.000000,69.985401,100.014599,0.119542,0.714662,-0.689179,0.818679,0.321748,0.475649,0.657979,0.750446,-0.062405,123.549937
0.000000,69.985401,109.941606,-0.190939,0.851569,-0.488234,0.871250,0.376146,0.315338,0.586150,0.810025,-0.016952,144.515401
0.000000,69.985401,119.992701,-0.457360,0.861912,-0.218927,0.873631,0.481466,0.070420,0.511787,0.858715,-0.026137,167.044796
0.000000,69.985401,130.043796,-0.610552,0.788233,0.076911,0.755853,0.608945,-0.240567,-0.434135,-0.896077,0.092589,169.929713
0.000000,69.985401,139.970803,-0.625773,0.706185,0.331226,0.487669,0.685630,-0.540454,-0.352727,-0.911423,0.211877,148.957837
0.000000,69.985401,150.021898,-0.556907,0.674552,0.484597,0.101849,0.634506,-0.766178,-0.262611,-0.883987,0.386784,132.239568
0.000000,69.985401,159.948905,-0.496419,0.705585,0.505687,-0.309116,0.400668,-0.862503,-0.164947,-0.781272,0.602002,122.566010
0.000000,69.985401,170.000000,-0.521582,0.738397,0.427459,-0.543586,0.098567,-0.833546,-0.098605,-0.642907,0.759571,122.447155
0.000000,80.036496,0.000000,-0.814479,0.197087,0.545692,-0.577223,-0.180225,-0.796450,0.167840,-0.606527,0.777145,150.120575
0.000000,80.036496,10.051095,-0.900741,0.102254,0.422149,-0.399561,-0.576208,-0.712976,0.171787,-0.441828,0.880498,163.443492
0.000000,80.036496,19.978102,-0.957084,-0.129192,0.259420,-0.042419,-0.823051,-0.566381,-0.144708,0.296636,-0.943963,177.365634
0.000000,80.036496,30.029197,-0.886607,-0.453600,0.090420,0.378735,-0.824200,-0.421015,-0.095947,0.204890,-0.974071,154.707125
0.000000,80.036496,39.956204,-0.677405,-0.732355,-0.069127,0.716500,-0.635607,-0.287458,-0.029419,0.160507,-0.986596,132.754498
0.000000,80.036496,50.007299,-0.346492,-0.905908,-0.243462,0.935171,-0.313261,-0.165296,0.063919,0.169305,-0.983489,110.610681
0.000000,80.036496,60.058394,0.027606,-0.897608,-0.439930,0.997617,0.052577,-0.044673,0.196501,0.251596,-0.947675,90.655955
0.000000,80.036496,69.985401,0.333230,-0.709855,-0.620535,0.926472,0.368652,0.075803,0.348267,0.409844,-0.843053,76.042964
0.000000,80.036496,80.036496,0.480185,-0.356545,-0.801435,0.786540,0.579473,0.213463,0.497539,0.625515,-0.600988,71.990493
0.000000,80.036496,89.963504,0.428829,0.034919,-0.902710,0.651061,0.680793,0.335619,0.543469,0.778589,-0.313751,79.081295
0.000000,80.036496,100.014599,0.192586,0.365108,-0.910828,0.587960,0.700201,0.404996,0.511503,0.851962,-0.111916,95.365935
0.000000,80.036496,109.941606,-0.134732,0.577383,-0.805280,0.582840,0.703412,0.406828,0.455199,0.890385,-0.003025,115.550566
0.000000,80.036496,119.992701,-0.485825,0.650976,-0.583270,0.603077,0.732678,0.315405,0.389059,0.920499,0.036261,138.663576
0.000000,80.036496,130.043796,-0.757833,0.593148,-0.271781,0.585784,0.801991,0.116906,0.317961,0.948021,0.012486,162.850149
0.000000,80.036496,139.970803,-0.878004,0.471304,0.083553,0.456589,0.877060,-0.149304,-0.240306,-0.968668,0.062736,173.265127
0.000000,80.036496,150.021898,-0.838567,0.414327,0.353749,0.240889,0.864385,-0.441374,-0.178986,-0.963640,0.198399,154.081532
0.000000,80.036496,159.948905,-0.724273,0.350733,0.593646,-0.164149,0.748504,-0.642493,-0.058327,-0.924467,0.376774,136.899704
0.000000,80.036496,170.000000,-0.634710,0.400431,0.660907,-0.439536,0.516362,-0.734968,0.014250,-0.839169,0.543684,129.423136
0.000000,89.963504,0.000000,-0.624305,-0.141473,0.768263,-0.774436,0.241041,-0.584934,0.329143,-0.763786,0.555244,145.250751
0.000000,89.963504,10.051095,-0.656752,-0.102246,0.747143,-0.725864,-0.182894,-0.663077,0.355792,-0.613513,0.704992,153.750106
0.000000,89.963504,19.978102,-0.736257,-0.163611,0.656626,-0.471879,-0.571364,-0.671471,0.352167,-0.455207,0.817780,169.135991
0.000000,89.963504,30.029197,-0.772759,-0.363851,0.520053,-0.077300,-0.759317,-0.646113,-0.328168,0.338319,-0.881956,170.650748
0.000000,89.963504,39.956204,-0.697515,-0.615538,0.366859,0.324673,-0.727878,-0.603971,-0.294664,0.265505,-0.917976,149.195483
0.000000,89.963504,50.007299,-0.485124,-0.856181,0.177790,0.671319,-0.494940,-0.551693,-0.248170,0.235342,-0.939695,125.633137
0.000000,89.963504,60.058394,-0.168714,-0.984599,-0.045826,0.857306,-0.123643,-0.499738,-0.192516,0.272393,-0.942730,102.339102
0.000000,89.963504,69.985401,0.162831,-0.943298,-0.289267,0.862843,0.278332,-0.421939,-0.121909,0.388302,-0.913433,81.361426
0.000000,89.963504,80.036496,0.405680,-0.724011,-0.557881,0.717372,0.630440,-0.296518,-0.009082,0.615005,-0.788471,66.069298
0.000000,89.963504,89.963504,0.474928,-0.380585,-0.793473,0.486660,0.864816,-0.123517,0.115393,0.863695,-0.490627,62.105692
0.000000,89.963504,100.014599,0.340014,-0.048585,-0.939164,0.290671,0.955193,0.055820,0.183354,0.966640,-0.178856,71.515117
0.000000,89.963504,109.941606,0.054802,0.218709,-0.974250,0.163595,0.960564,0.224839,0.198297,0.979754,0.027560,89.076679
0.000000,89.963504,119.992701,-0.322306,0.358065,-0.876304,0.122690,0.933696,0.336391,0.180305,0.975442,0.126502,111.514612
0.000000,89.963504,130.043796,-0.697016,0.346723,-0.627656,0.139975,0.924276,0.355135,0.143614,0.977905,0.151910,137.117736
0.000000,89.963504,139.970803,-0.938961,0.213828,-0.269499,0.144022,0.955746,0.256529,0.092542,0.988621,0.118592,162.883754
0.000000,89.963504,150.021898,-0.991144,0.051672,0.122326,0.059668,0.996252,0.062629,-0.027963,-0.999059,-0.033153,173.073704
0.000000,89.963504,159.948905,-0.877665,-0.050677,0.476589,-0.154568,0.971191,-0.181376,0.054911,-0.992322,0.110823,152.048326
0.000000,89.963504,170.000000,-0.708997,-0.034821,0.704352,-0.387913,0.853359,-0.348283,0.127165,-0.956861,0.261241,137.483843
0.000000,100.014599,0.000000,-0.402224,-0.507477,0.762026,-0.853667,0.508668,-0.111844,0.453704,-0.849549,0.269109,139.967973
0.000000,100.014599,10.051095,-0.350472,-0.389572,0.851706,-0.936148,0.173115,-0.306037,0.500305,-0.735504,0.456867,143.260494
0.000000,100.014599,19.978102,-0.383103,-0.304641,0.872024,-0.855246,-0.239682,-0.459465,0.520019,-0.588281,0.619279,153.605252
0.000000,100.014599,30.029197,-0.458101,-0.338034,0.822117,-0.594531,-0.571038,-0.566082,0.514942,-0.456344,0.725661,169.820456
0.000000,100.014599,39.956204,-0.486397,-0.486797,0.725567,-0.225110,-0.732564,-0.642398,-0.501603,0.357297,-0.787867,170.440445
0.000000,100.014599,50.007299,-0.407144,-0.705313,0.580316,0.178240,-0.684501,-0.706887,-0.486569,0.293782,-0.822765,147.524342
0.000000,100.014599,60.058394,-0.194144,-0.903638,0.381768,0.485789,-0.426666,-0.762866,-0.478890,0.281554,-0.831500,123.332645
0.000000,100.014599,69.985401,0.090569,-0.987426,0.129569,0.620859,-0.045743,-0.782587,-0.474114,0.329529,-0.816472,99.970016
0.000000,100.014599,80.036496,0.377167,-0.911333,-0.164976,0.552723,0.364424,-0.749461,-0.479334,0.462603,-0.745813,78.966831
0.000000,100.014599,89.963504,0.552426,-0.671691,-0.493615,0.313534,0.716127,-0.623586,-0.452199,0.703878,-0.547787,64.063233
0.000000,100.014599,100.014599,0.534788,-0.376945,-0.756250,0.027818,0.902354,-0.430097,-0.360951,0.904130,-0.228613,62.283435
0.000000,100.014599,109.941606,0.338592,-0.091981,-0.936427,-0.225541,0.958263,-0.175677,-0.233980,0.969717,0.070011,72.525251
0.000000,100.014599,119.992701,-0.014872,0.099878,-0.994889,-0.384111,0.918081,0.097909,-0.142940,0.959651,0.242152,92.065409
0.000000,100.014599,130.043796,-0.432997,0.150966,-0.888664,-0.417067,0.840445,0.345988,-0.097498,0.943247,0.317458,116.535310
